56,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.6,17724,The Book Thief,https://www.amazon.com/Book-Thief-Markus-Zusak/dp/0375842209
57,9%,9%,9%,9%,9%,"['9%', '9%', '9%', '9%', '9%']",4.0,1526,The Brief Wondrous Life of Oscar Wao,https://www.amazon.com/Brief-Wondrous-Life-Oscar-Wao/dp/1594483299
58,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.6,1370,The Color of Water: A Black Man's Tribute to His White Mother,https://www.amazon.com/Color-Water-Black-Tribute-Mother/dp/159448192X
59,18%,18%,18%,18%,18%,"['18%', '18%', '18%', '18%', '18%']",3.7,1271,The Corrections: A Novel,https://www.amazon.com/Corrections-Novel-Jonathan-Franzen/dp/0312421273
60,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.3,5646,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.amazon.com/Devil-White-City-Madness-Changed/dp/0375725601
61,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.6,2421,The Diary of a Young Girl,https://www.amazon.com/Diary-Young-Girl-Anne-Frank/dp/0307594009
62,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.7,37617,The Fault in Our Stars,https://www.amazon.com/Fault-Our-Stars-John-Green/dp/014242417X
63,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.4,10284,The Giver,https://www.amazon.com/Giver-Lois-Lowry/dp/0385732554
64,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.4,1589,The Golden Compass: His Dark Materials,https://www.amazon.com/Golden-Compass-His-Dark-Materials/dp/0440238137
65,6%,6%,6%,6%,6%,"['6%', '6%', '6%', '6%', '6%']",4.2,6477,The Great Gatsby,https://www.amazon.com/Great-Gatsby-F-Scott-Fitzgerald/dp/0743273567
66,8%,8%,8%,8%,8%,"['8%', '8%', '8%', '8%', '8%']",4.1,12014,The Handmaid's Tale,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood/dp/038549081X
67,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.6,1514,The House at Pooh Corner,https://www.amazon.com/House-Pooh-Corner-Winnie-Pooh/dp/0140361227
68,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.6,73735,The Hunger Games,https://www.amazon.com/Hunger-Games-Book-1/dp/0439023521
69,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.6,5909,The Immortal Life of Henrietta Lacks,https://www.amazon.com/Immortal-Life-Henrietta-Lacks/dp/1400052181
70,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",3.9,502,The Liars' Club: A Memoir,https://www.amazon.com/Liars-Club-Memoir-Mary-Karr/dp/0143035746
71,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,4527,The Lightning Thief,https://www.amazon.com/Lightning-Thief-Percy-Jackson-Olympians/dp/0786838655
72,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",4.5,2944,The Little Prince,https://www.amazon.com/Little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0547978847
73,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.2,1138,The Long Goodbye,https://www.amazon.com/Long-Goodbye-Raymond-Chandler/dp/0394757688
74,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.7,891,The Looming Tower: Al-Qaeda and the Road to 9/11,https://www.amazon.com/Looming-Tower-Al-Qaeda-Road-11/dp/1400030846
75,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,18988,The Lord of the Rings,https://www.amazon.com/Lord-Rings-J-R-R-Tolkien/dp/0544003411
76,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.2,755,The Man Who Mistook His Wife For A Hat: And Other Clinical Tales,https://www.amazon.com/Man-Who-Mistook-His-Wife/dp/0684853949
77,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.5,1544,The Omnivore's Dilemma: A Natural History of Four Meals,https://www.amazon.com/Omnivores-Dilemma-Natural-History-Meals/dp/0143038583
78,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.8,1621,The Phantom Tollbooth 50th Anniversary Edition,https://www.amazon.com/Phantom-Tollbooth-50th-Anniversary/dp/0375869034
79,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.5,2630,The Poisonwood Bible: A Novel,https://www.amazon.com/Poisonwood-Bible-Novel-Barbara-Kingsolver/dp/0061577073
80,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,337,The Power Broker: Robert Moses and the Fall of New York,https://www.amazon.com/Power-Broker-Robert-Moses-Fall/dp/0394720245
81,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.4,748,The Right Stuff,https://www.amazon.com/Right-Stuff-Tom-Wolfe/dp/0312427565
82,10%,10%,10%,10%,10%,"['10%', '10%', '10%', '10%', '10%']",4.1,4550,The Road,https://www.amazon.com/Road-Cormac-McCarthy/dp/0307387895
83,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",3.9,2339,The Secret History,https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702
84,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.2,1224,The Stranger,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200
85,10%,10%,10%,10%,10%,"['10%', '10%', '10%', '10%', '10%']",3.8,1352,The Sun Also Rises,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334
86,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.4,2621,The Things They Carried,https://www.amazon.com/Things-They-Carried-Tim-OBrien/dp/0618706410
87,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.6,3912,The Very Hungry Caterpillar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907
88,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.5,1457,The Wind in the Willows,https://www.amazon.com/Wind-Willows-Kenneth-Grahame/dp/0763622427
89,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.2,898,The Wind-Up Bird Chronicle: A Novel,https://www.amazon.com/Wind-Up-Bird-Chronicle-Novel/dp/0679775439
90,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.3,363,The World According to Garp: A Novel,https://www.amazon.com/World-According-Garp-Ballantine-Readers/dp/0345418018
91,10%,10%,10%,10%,10%,"['10%', '10%', '10%', '10%', '10%']",4.1,1243,The Year of Magical Thinking,https://www.amazon.com/Year-Magical-Thinking-Joan-Didion/dp/1400078431
92,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",4.3,1666,Things Fall Apart,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547
93,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,10163,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786
94,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.8,27671,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/0812974492
95,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.3,386,Valley of the Dolls,https://www.amazon.com/Valley-Dolls-Jacqueline-Susann/dp/0802135196
96,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.9,1674,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://www.amazon.com/Where-Sidewalk-Ends-Silverstein-Anniversary/dp/0060291699
97,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.7,2148,Where the Wild Things Are,https://www.amazon.com/Where-Wild-Things-Maurice-Sendak/dp/0060254920
