1_star_a,2_star_a,3_star_a,4_star_a,5_star_a,overall_rating_a,total_rating_number_a,title,url_a,1_star_g,2_star_g,3_star_g,4_star_g,5_star_g,overall_rating_g,total_rating_number_g,goodreads_id,url_g
4,2,6,13,75,4.6,7830,Pride and Prejudice,https://www.amazon.com/Pride-Prejudice-Oxford-Worlds-Classics/dp/0199535566,2,3,12,27,53,4.25,2404402,1885,https://www.amazon.com/Pride-Prejudice-Oxford-Worlds-Classics/dp/0199535566
10,2,6,17,65,4.5,626,Silent Spring,https://www.amazon.com/Silent-Spring-Rachel-Carson/dp/0618249060,2,5,21,37,33,3.95,27715,27333,https://www.amazon.com/Silent-Spring-Rachel-Carson/dp/0618249060
5,6,11,22,56,4.2,3303,Slaughterhouse-Five: A Novel,https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/dp/0385333846,2,3,12,30,51,4.26,2382445,33616893,https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/dp/0385333846
1,1,3,12,83,4.8,3155,Team of Rivals: The Political Genius of Abraham Lincoln,https://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754,3,3,10,28,54,4.28,122488,2199,https://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754
5,5,10,22,58,4.2,867,The Age of Innocence,https://www.amazon.com/Age-Innocence-Signet-Classics/dp/0451530888,2,5,22,36,33,3.94,122776,53835,https://www.amazon.com/Age-Innocence-Signet-Classics/dp/0451530888
4,6,10,19,61,4.3,1112,The Amazing Adventures of Kavalier & Clay,https://www.amazon.com/Amazing-Adventures-Kavalier-Clay/dp/0812983580,1,4,14,33,45,4.17,166496,3985,https://www.amazon.com/Amazing-Adventures-Kavalier-Clay/dp/0812983580
1,1,3,10,85,4.8,1213,The Autobiography of Malcolm X: As Told to Alex Haley,https://www.amazon.com/Autobiography-Malcolm-Told-Alex-Haley/dp/0345350685,0,1,12,36,50,4.35,146,48454,https://www.amazon.com/Autobiography-Malcolm-Told-Alex-Haley/dp/0345350685
2,2,4,16,76,4.6,17728,The Book Thief,https://www.amazon.com/Book-Thief-Markus-Zusak/dp/0375842209,1,2,10,29,56,4.36,1452415,19063,https://www.amazon.com/Book-Thief-Markus-Zusak/dp/0375842209
9,8,11,21,51,4.0,1526,The Brief Wondrous Life of Oscar Wao,https://www.amazon.com/Brief-Wondrous-Life-Oscar-Wao/dp/1594483299,2,7,20,36,32,3.9,199168,297673,https://www.amazon.com/Brief-Wondrous-Life-Oscar-Wao/dp/1594483299
10,8,10,17,55,4.1,3609,The Catcher in the Rye,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177,5,8,21,31,33,3.8,2307546,5107,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177
2,2,6,18,72,4.6,1370,The Color of Water: A Black Man's Tribute to His White Mother,https://www.amazon.com/Color-Water-Black-Tribute-Mother/dp/159448192X,1,3,18,38,37,4.07,89789,29209,https://www.amazon.com/Color-Water-Black-Tribute-Mother/dp/159448192X
18,12,13,18,39,3.7,1271,The Corrections: A Novel,https://www.amazon.com/Corrections-Novel-Jonathan-Franzen/dp/0312421273,2,3,12,32,49,4.24,1927,92573,https://www.amazon.com/Corrections-Novel-Jonathan-Franzen/dp/0312421273
3,5,10,25,57,4.3,5650,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.amazon.com/Devil-White-City-Madness-Changed/dp/0375725601,1,5,19,38,35,3.99,399511,21996,https://www.amazon.com/Devil-White-City-Madness-Changed/dp/0375725601
3,2,5,14,76,4.6,2422,The Diary of a Young Girl,https://www.amazon.com/Diary-Young-Girl-Anne-Frank/dp/0307594009,2,4,17,32,44,4.11,2242447,48855,https://www.amazon.com/Diary-Young-Girl-Anne-Frank/dp/0307594009
1,2,4,14,79,4.7,37616,The Fault in Our Stars,https://www.amazon.com/Fault-Our-Stars-John-Green/dp/014242417X,2,3,13,28,52,4.25,2816538,11870085,https://www.amazon.com/Fault-Our-Stars-John-Green/dp/014242417X
3,3,9,25,60,4.4,10286,The Giver,https://www.amazon.com/Giver-Lois-Lowry/dp/0385732554,1,4,16,33,43,4.12,1420604,3636,https://www.amazon.com/Giver-Lois-Lowry/dp/0385732554
5,3,7,17,68,4.4,1591,The Golden Compass: His Dark Materials,https://www.amazon.com/Golden-Compass-His-Dark-Materials/dp/0440238137,3,6,19,31,38,3.95,1078435,119322,https://www.amazon.com/Golden-Compass-His-Dark-Materials/dp/0440238137
6,4,10,21,59,4.2,6477,The Great Gatsby,https://www.amazon.com/Great-Gatsby-F-Scott-Fitzgerald/dp/0743273567,3,6,21,33,34,3.9,3087729,4671,https://www.amazon.com/Great-Gatsby-F-Scott-Fitzgerald/dp/0743273567
8,7,13,22,50,4.1,12046,The Handmaid's Tale,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood/dp/038549081X,1,4,16,36,40,4.08,898950,38447,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood/dp/038549081X
4,2,4,8,82,4.6,1514,The House at Pooh Corner,https://www.amazon.com/House-Pooh-Corner-Winnie-Pooh/dp/0140361227,0,2,12,28,55,4.36,73490,776407,https://www.amazon.com/House-Pooh-Corner-Winnie-Pooh/dp/0140361227
2,2,6,16,74,4.6,73738,The Hunger Games,https://www.amazon.com/Hunger-Games-Book-1/dp/0439023521,1,2,11,30,54,4.33,5424119,2767052,https://www.amazon.com/Hunger-Games-Book-1/dp/0439023521
2,2,6,18,72,4.6,5911,The Immortal Life of Henrietta Lacks,https://www.amazon.com/Immortal-Life-Henrietta-Lacks/dp/1400052181,2,4,16,36,39,4.05,464002,6493208,https://www.amazon.com/Immortal-Life-Henrietta-Lacks/dp/1400052181
7,11,11,17,54,3.9,503,The Liars' Club: A Memoir,https://www.amazon.com/Liars-Club-Memoir-Mary-Karr/dp/0143035746,2,5,22,36,32,3.93,51781,14241,https://www.amazon.com/Liars-Club-Memoir-Mary-Karr/dp/0143035746
2,1,4,16,77,4.7,4528,The Lightning Thief,https://www.amazon.com/Lightning-Thief-Percy-Jackson-Olympians/dp/0786838655,1,3,15,30,49,4.24,1585885,28187,https://www.amazon.com/Lightning-Thief-Percy-Jackson-Olympians/dp/0786838655
7,3,4,8,78,4.5,2946,The Little Prince,https://www.amazon.com/Little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0547978847,1,3,13,26,55,4.29,994243,157993,https://www.amazon.com/Little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0547978847
3,5,9,24,59,4.2,1138,The Long Goodbye,https://www.amazon.com/Long-Goodbye-Raymond-Chandler/dp/0394757688,1,6,21,36,33,3.93,2756,9499320,https://www.amazon.com/Long-Goodbye-Raymond-Chandler/dp/0394757688
2,2,3,11,82,4.7,18994,The Lord of the Rings,https://www.amazon.com/Lord-Rings-J-R-R-Tolkien/dp/0544003411,1,2,8,24,64,4.48,471612,33,https://www.amazon.com/Lord-Rings-J-R-R-Tolkien/dp/0544003411
3,6,11,23,57,4.2,755,The Man Who Mistook His Wife For A Hat: And Other Clinical Tales,https://www.amazon.com/Man-Who-Mistook-His-Wife/dp/0684853949,1,4,19,37,37,4.05,128375,63697,https://www.amazon.com/Man-Who-Mistook-His-Wife/dp/0684853949
3,3,7,17,70,4.5,1544,The Omnivore's Dilemma: A Natural History of Four Meals,https://www.amazon.com/Omnivores-Dilemma-Natural-History-Meals/dp/0143038583,1,3,14,39,41,4.18,157427,3109,https://www.amazon.com/Omnivores-Dilemma-Natural-History-Meals/dp/0143038583
2,2,3,11,82,4.8,1621,The Phantom Tollbooth 50th Anniversary Edition,https://www.amazon.com/Phantom-Tollbooth-50th-Anniversary/dp/0375869034,1,3,14,39,41,4.18,157427,3109,https://www.amazon.com/Phantom-Tollbooth-50th-Anniversary/dp/0375869034
4,5,8,20,63,4.5,2630,The Poisonwood Bible: A Novel,https://www.amazon.com/Poisonwood-Bible-Novel-Barbara-Kingsolver/dp/0061577073,0,7,7,42,42,4.21,14,7245,https://www.amazon.com/Poisonwood-Bible-Novel-Barbara-Kingsolver/dp/0061577073
2,2,3,8,85,4.7,337,The Power Broker: Robert Moses and the Fall of New York,https://www.amazon.com/Power-Broker-Robert-Moses-Fall/dp/0394720245,1,2,8,21,66,4.49,9082,1111,https://www.amazon.com/Power-Broker-Robert-Moses-Fall/dp/0394720245
