65,3,6,19,31,38,3.95,"1,078,435",119322,The Golden Compass: His Dark Materials,https://www.amazon.com/Golden-Compass-His-Dark-Materials/dp/0440238137
66,3,6,21,33,34,3.9,"3,087,729",4671,The Great Gatsby,https://www.amazon.com/Great-Gatsby-F-Scott-Fitzgerald/dp/0743273567
67,1,4,16,36,40,4.08,"898,950",38447,The Handmaid's Tale,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood/dp/038549081X
68,0,2,12,28,55,4.36,"73,490",776407,The House at Pooh Corner,https://www.amazon.com/House-Pooh-Corner-Winnie-Pooh/dp/0140361227
69,1,2,11,30,54,4.33,"5,424,119",2767052,The Hunger Games,https://www.amazon.com/Hunger-Games-Book-1/dp/0439023521
70,2,4,16,36,39,4.05,"464,002",6493208,The Immortal Life of Henrietta Lacks,https://www.amazon.com/Immortal-Life-Henrietta-Lacks/dp/1400052181
71,2,5,22,36,32,3.93,"51,781",14241,The Liars' Club: A Memoir,https://www.amazon.com/Liars-Club-Memoir-Mary-Karr/dp/0143035746
72,1,3,15,30,49,4.24,"1,585,885",28187,The Lightning Thief,https://www.amazon.com/Lightning-Thief-Percy-Jackson-Olympians/dp/0786838655
73,1,3,13,26,55,4.29,"994,243",157993,The Little Prince,https://www.amazon.com/Little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0547978847
74,1,6,21,36,33,3.93,"2,756",9499320,The Long Goodbye,https://www.amazon.com/Long-Goodbye-Raymond-Chandler/dp/0394757688
75,1,2,8,24,64,4.48,"471,612",33,The Lord of the Rings,https://www.amazon.com/Lord-Rings-J-R-R-Tolkien/dp/0544003411
76,1,4,19,37,37,4.05,"128,375",63697,The Man Who Mistook His Wife For A Hat: And Other Clinical Tales,https://www.amazon.com/Man-Who-Mistook-His-Wife/dp/0684853949
77,1,3,14,39,41,4.18,"157,427",3109,The Omnivore's Dilemma: A Natural History of Four Meals,https://www.amazon.com/Omnivores-Dilemma-Natural-History-Meals/dp/0143038583
78,1,3,14,39,41,4.18,"157,427",3109,The Phantom Tollbooth 50th Anniversary Edition,https://www.amazon.com/Phantom-Tollbooth-50th-Anniversary/dp/0375869034
79,0,7,7,42,42,4.21,14,7245,The Poisonwood Bible: A Novel,https://www.amazon.com/Poisonwood-Bible-Novel-Barbara-Kingsolver/dp/0061577073
80,1,2,8,21,66,4.49,"9,082",1111,The Power Broker: Robert Moses and the Fall of New York,https://www.amazon.com/Power-Broker-Robert-Moses-Fall/dp/0394720245
81,1,2,14,36,45,4.24,"35,771",586472,The Right Stuff,https://www.amazon.com/Right-Stuff-Tom-Wolfe/dp/0312427565
82,3,6,18,34,37,3.96,"603,904",6288,The Road,https://www.amazon.com/Road-Cormac-McCarthy/dp/0307387895
83,1,5,16,35,41,4.08,"217,603",29044,The Secret History,https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702
84,2,3,14,33,46,4.19,"898,639",11588,The Shining,https://www.amazon.com/Shining-Stephen-King/dp/0307743659
85,2,5,20,36,35,3.97,"542,828",49552,The Stranger,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200
86,3,7,23,34,30,3.82,"322,666",3876,The Sun Also Rises,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334
